Index - Plot 0;Deflection - Plot 0
0;-5.493mV
1;-3.662mV
2;-3.967mV
3;-5.798mV
4;-3.052mV
5;-3.357mV
6;-5.798mV
7;-3.357mV
8;-3.967mV
9;-3.052mV
10;-1.526mV
11;-2.441mV
12;-4.578mV
13;-4.272mV
14;-4.272mV
15;-2.747mV
16;-1.526mV
17;-305.2uV
18;-3.662mV
19;-3.967mV
20;-4.883mV
21;-5.188mV
22;-2.136mV
23;-3.357mV
24;-1.831mV
25;-5.798mV
26;-1.221mV
27;-3.052mV
28;-1.221mV
29;-1.221mV
30;-1.831mV
31;-3.967mV
32;-1.831mV
33;-3.052mV
34;-4.883mV
35;-305.2uV
36;-2.136mV
37;-3.357mV
38;-2.747mV
39;-3.357mV
40;-2.747mV
41;-3.357mV
42;-4.578mV
43;-1.831mV
44;-3.662mV
45;-3.662mV
46;-2.747mV
47;-3.662mV
48;-5.188mV
49;-3.052mV
50;-3.357mV
51;-3.967mV
52;-3.662mV
53;-3.357mV
54;-3.357mV
55;-2.747mV
56;-3.967mV
57;-3.967mV
58;-2.441mV
59;-2.441mV
60;-5.493mV
61;-4.272mV
62;-5.798mV
63;-5.493mV
64;-3.662mV
65;-3.357mV
66;-6.409mV
67;-4.883mV
68;-6.714mV
69;-7.019mV
70;-6.409mV
71;-6.714mV
72;-5.798mV
73;-6.104mV
74;-5.188mV
75;-7.629mV
76;-5.188mV
77;-7.629mV
78;-7.324mV
79;-6.104mV
80;-6.104mV
81;-6.104mV
82;-6.409mV
83;-6.409mV
84;-5.188mV
85;-7.019mV
86;-5.493mV
87;-6.714mV
88;-7.629mV
89;-5.188mV
90;-7.935mV
91;-7.629mV
92;-6.409mV
93;-7.019mV
94;-6.714mV
95;-9.155mV
96;-6.409mV
97;-7.935mV
98;-7.324mV
99;-7.019mV
100;-5.798mV
101;-4.883mV
102;-8.545mV
103;-7.629mV
104;-6.714mV
105;-7.629mV
106;-8.545mV
107;-10.38mV
108;-8.850mV
109;-7.935mV
110;-8.850mV
111;-10.07mV
112;-10.68mV
113;-9.460mV
114;-10.99mV
115;-11.60mV
116;-12.51mV
117;-6.409mV
118;-10.99mV
119;-9.766mV
120;-8.545mV
121;-9.460mV
122;-7.935mV
123;-9.460mV
124;-11.90mV
125;-11.60mV
126;-9.460mV
127;-8.850mV
128;-10.99mV
129;-10.99mV
130;-9.460mV
131;-11.29mV
132;-10.07mV
133;-11.60mV
134;-10.99mV
135;-11.60mV
136;-10.99mV
137;-10.99mV
138;-11.90mV
139;-14.04mV
140;-11.29mV
141;-10.07mV
142;-9.460mV
143;-8.850mV
144;-9.766mV
145;-10.07mV
146;-10.07mV
147;-9.766mV
148;-9.460mV
149;-8.240mV
150;-10.68mV
151;-11.29mV
152;-10.07mV
153;-9.460mV
154;-10.38mV
155;-9.460mV
156;-10.38mV
157;-8.850mV
158;-7.629mV
159;-9.766mV
160;-8.240mV
161;-8.545mV
162;-9.155mV
163;-8.545mV
164;-9.155mV
165;-8.850mV
166;-7.629mV
167;-8.240mV
168;-7.019mV
169;-7.324mV
170;-5.493mV
171;-5.493mV
172;-7.019mV
173;-7.019mV
174;-6.409mV
175;-5.188mV
176;-6.409mV
177;-5.798mV
178;-5.188mV
179;-4.272mV
180;-3.967mV
181;-4.883mV
182;-3.357mV
183;-3.052mV
184;1.221mV
185;3.052mV
186;915.5uV
187;1.831mV
188;3.052mV
189;3.967mV
190;2.747mV
191;6.104mV
192;6.104mV
193;7.935mV
194;8.545mV
195;8.240mV
196;7.935mV
197;12.51mV
198;14.04mV
199;13.73mV
200;16.48mV
201;17.70mV
202;17.40mV
203;19.53mV
204;21.36mV
205;21.67mV
206;20.75mV
207;24.11mV
208;25.94mV
209;26.25mV
210;30.82mV
211;32.65mV
212;33.57mV
213;34.79mV
214;36.62mV
215;41.20mV
216;42.42mV
217;44.56mV
218;47.00mV
219;51.57mV
220;52.49mV
221;55.54mV
222;57.68mV
223;57.07mV
224;62.56mV
225;67.44mV
226;68.36mV
227;72.94mV
228;74.46mV
229;78.13mV
230;81.18mV
231;83.31mV
232;89.11mV
233;91.55mV
234;94.30mV
235;98.88mV
236;102.2mV
237;102.5mV
238;105.6mV
239;110.8mV
240;111.4mV
241;114.1mV
242;117.2mV
243;119.3mV
244;123.3mV
245;125.4mV
246;130.6mV
247;129.4mV
248;132.4mV
249;132.1mV
250;136.1mV
251;137.0mV
252;140.1mV
253;139.5mV
254;140.4mV
255;143.4mV
256;142.2mV
257;145.9mV
258;146.2mV
259;146.2mV
260;144.7mV
261;146.8mV
262;147.1mV
263;144.7mV
264;143.7mV
265;142.8mV
266;139.2mV
267;142.5mV
268;140.4mV
269;137.6mV
270;137.9mV
271;136.1mV
272;133.4mV
273;132.1mV
274;130.6mV
275;127.6mV
276;123.3mV
277;118.1mV
278;114.7mV
279;113.8mV
280;110.2mV
281;106.5mV
282;102.8mV
283;97.66mV
284;92.16mV
285;87.89mV
286;82.40mV
287;76.29mV
288;70.50mV
289;64.70mV
290;57.07mV
291;52.49mV
292;45.78mV
293;38.45mV
294;32.35mV
295;24.11mV
296;15.87mV
297;9.155mV
298;1.526mV
299;-7.629mV
300;-12.82mV
301;-19.84mV
302;-29.91mV
303;-34.79mV
304;-42.42mV
305;-50.96mV
306;-58.59mV
307;-66.83mV
308;-72.94mV
309;-79.96mV
310;-84.84mV
311;-91.86mV
312;-101.9mV
313;-103.8mV
314;-110.5mV
315;-114.7mV
316;-118.4mV
317;-122.7mV
318;-123.6mV
319;-123.3mV
320;-123.0mV
321;-123.3mV
322;-120.8mV
323;-120.2mV
324;-116.3mV
325;-109.9mV
326;-105.3mV
327;-102.8mV
328;-95.52mV
329;-91.25mV
330;-89.11mV
331;-83.31mV
332;-78.74mV
333;-76.60mV
334;-71.11mV
335;-70.19mV
336;-65.31mV
337;-64.70mV
338;-61.95mV
339;-60.42mV
340;-59.51mV
341;-56.76mV
342;-54.02mV
343;-53.10mV
344;-49.44mV
345;-48.22mV
346;-47.91mV
347;-47.00mV
348;-44.86mV
349;-41.20mV
350;-41.81mV
351;-42.42mV
352;-40.89mV
353;-40.28mV
354;-39.98mV
355;-38.76mV
356;-37.54mV
357;-34.79mV
358;-34.79mV
359;-34.79mV
360;-36.93mV
361;-35.40mV
362;-34.79mV
363;-33.26mV
364;-30.82mV
365;-31.74mV
366;-33.26mV
367;-31.13mV
368;-33.87mV
369;-31.74mV
370;-31.43mV
371;-31.13mV
372;-29.91mV
373;-28.69mV
374;-29.91mV
375;-29.91mV
376;-30.52mV
377;-30.52mV
378;-28.99mV
379;-28.38mV
380;-27.16mV
381;-28.08mV
382;-25.94mV
383;-25.63mV
384;-24.41mV
385;-24.72mV
386;-23.80mV
387;-23.50mV
388;-23.19mV
389;-22.89mV
390;-23.50mV
391;-20.45mV
392;-22.89mV
393;-20.75mV
394;-21.67mV
395;-22.28mV
396;-21.97mV
397;-21.06mV
398;-21.06mV
399;-21.06mV
400;-20.45mV
401;-20.75mV
402;-19.53mV
403;-21.36mV
404;-19.23mV
405;-19.53mV
406;-19.84mV
407;-18.92mV
408;-18.01mV
409;-19.23mV
410;-18.31mV
411;-19.23mV
412;-18.62mV
413;-18.01mV
414;-18.62mV
415;-17.70mV
416;-15.87mV
417;-15.56mV
418;-16.78mV
419;-17.09mV
420;-16.17mV
421;-16.48mV
422;-14.65mV
423;-13.43mV
424;-14.65mV
425;-16.78mV
426;-14.65mV
427;-14.95mV
428;-14.34mV
429;-14.65mV
430;-15.56mV
431;-15.26mV
432;-12.51mV
433;-15.26mV
434;-11.60mV
435;-13.73mV
436;-11.60mV
437;-11.60mV
438;-11.90mV
439;-10.07mV
440;-11.90mV
441;-10.07mV
442;-10.99mV
443;-9.155mV
444;-10.07mV
445;-9.766mV
446;-10.99mV
447;-10.68mV
448;-8.850mV
449;-10.38mV
450;-9.460mV
451;-8.850mV
452;-10.68mV
453;-7.935mV
454;-8.545mV
455;-8.850mV
456;-7.324mV
457;-8.545mV
458;-10.68mV
459;-8.240mV
460;-6.104mV
461;-7.324mV
462;-7.019mV
463;-7.019mV
464;-7.324mV
465;-9.766mV
466;-10.07mV
467;-7.019mV
468;-7.629mV
469;-5.493mV
470;-5.188mV
471;-5.188mV
472;-5.188mV
473;-6.104mV
474;-3.967mV
475;-7.324mV
476;-4.272mV
477;-5.188mV
478;-6.409mV
479;-5.798mV
480;-5.188mV
481;-4.272mV
482;-3.967mV
483;-5.493mV
484;-7.019mV
485;-4.578mV
486;-5.493mV
487;-4.578mV
488;-3.967mV
489;-5.493mV
490;-3.967mV
491;-2.747mV
492;-4.883mV
493;-4.578mV
494;-5.188mV
495;-3.967mV
496;-2.441mV
497;-4.883mV
498;-2.747mV
499;-3.357mV
